StockId,Type,Headline,ImpactPercentage
STUDIOLUNA,NormalNegative,"스튜디오 루나, 대규모 인력 확충에 따른 인건비 부담 증대 전망",-4.0
STUDIOLUNA,CorePositive,"[단독] 스튜디오 루나, 글로벌 OTT와 1,000억 규모 콘텐츠 공급 계약",20.0
STUDIOLUNA,CoreNegative,"스튜디오 루나, '기대작' 개발 전면 중단 선언... 개발 동력 상실 우려",-22.0
STUDIOLUNA,Disaster,"[속보] 핵심 IP 표절 확정 판결... 거액 배상금 및 전량 폐기 처분",-95.0
POPCORE,NormalPositive,"팝 코어, AI 기반 개인 맞춤형 음원 추천 알고리즘 고도화 성공",5.0
POPCORE,NormalNegative,"팝 코어, 음원 저작권 수수료 정산 비율 인상에 따른 비용 증가",-4.0
POPCORE,CorePositive,"[단독] 팝 코어, 제국 내 음원 스트리밍 서비스 시장 점유율 1위 등극",20.0
POPCORE,CoreNegative,"팝 코어, 가상 작곡가 음원 침해 소송 피소로 서비스 일시 제한",-15.0
POPCORE,Disaster,"[긴급] 팝 코어, 이용자 청취 데이터 조작 및 차트 무단 순위 조작 적발",-90.0
VISUALART,NormalPositive,"비주얼 아트, 글로벌 메이저 게임 제작사 VFX 프로젝트 수주",4.0
VISUALART,NormalNegative,"비주얼 아트, 고사양 렌더링 장비 수입가 상승에 따른 마진율 하락",-3.0
VISUALART,CorePositive,"[특징주] 비주얼 아트, 독자 개발 '실시간 시각 효과 엔진' 상용화 성공",23.0
VISUALART,CoreNegative,"비주얼 아트, 주요 계약사의 대형 프로젝트 무산 소식에 실적 우려",-18.0
VISUALART,Disaster,"[속보] 비주얼 아트, 수백억대 국책 기술 지원금 허위 서류로 수취 적발",-99.0
NEXTONE,NormalPositive,"넥스트 원, 홀로그램 공연 기술 유저 만족도 조사 1위 달성",3.0
NEXTONE,NormalNegative,"넥스트 원, 공연 장비 노후화에 따른 유지보수 비용 선반영",-3.0
NEXTONE,CorePositive,"[단독] 넥스트 원, 세계 최대 돔 공연장 '홀로그램 전용관' 독점권",18.0
NEXTONE,CoreNegative,"넥스트 원, 라이브 공연 중 서버 다운으로 인한 대규모 환불 사태",-20.0
NEXTONE,Disaster,"[긴급] 넥스트 원, 불법 자금 세탁 통로 활용 혐의로 영업 정지",-90.0
DARKHORSE,NormalPositive,"다크 호스, 퍼블리싱 인디 게임 '로그 라이트' 스팀 판매 1위",5.0
DARKHORSE,NormalNegative,"다크 호스, 글로벌 게임 전시회 출전 비용 선반영으로 적자 전환",-4.0
DARKHORSE,CorePositive,"[단독] 다크 호스, 텐배거 흥행작 단독 유통으로 창사 이래 최대 실적",25.0
DARKHORSE,CoreNegative,"다크 호스, 유통 계약 중이던 핵심 개발사의 일방적 계약 파기",-18.0
DARKHORSE,Disaster,"[긴급] 다크 호스, 불법 사설 도박 서버 호스팅 및 자금 세탁 공모 적발",-95.0
SOCIALMIX,NormalPositive,"소셜 믹스, 숏폼 챌린지 열풍에 힘입어 일일 활성 사용자 급증",5.0
SOCIALMIX,NormalNegative,"소셜 믹스, 트래픽 폭증에 따른 서버 대역폭 임대 비용 부담 증가",-4.0
SOCIALMIX,CorePositive,"[특징주] 소셜 믹스, 신규 광고 비즈니스 모델 안착... 월 매출 서프라이즈",24.0
SOCIALMIX,CoreNegative,"소셜 믹스, 유저 이탈 추세 관련 부정적 애널리스트 보고서 보고",-15.0
SOCIALMIX,Disaster,"[긴급] 소셜 믹스, 사용자 위치 및 사생활 영상 대규모 유출 사고 발생",-90.0
SCONNECT,NormalPositive,"S-커넥트, 전국망 커버리지 100% 달성... '디지털 소외' 해소",3.0
SCONNECT,NormalNegative,"S-커넥트, 노후 케이블 교체 비용 선반영... 분기 실적 컨센서스 하회",-2.0
SCONNECT,CorePositive,"[특징주] S-커넥트, 차세대 '6G 국가 표준' 사업 주관사 선정",15.0
SCONNECT,CoreNegative,"S-커넥트, 위성 통신망 대규모 수신 장애... '블랙아웃' 공포 확산",-12.0
SCONNECT,Disaster,"[긴급] S-커넥트, 국가 기간망 관리 소홀에 따른 '사업권 박탈' 결정",-90.0
METROLINK,NormalPositive,"메트로 링크, 자율주행 전용 차선 결제 모듈 도입 성공",3.0
METROLINK,NormalNegative,"메트로 링크, 정기권 할인율 인상 압박에 분기 영업익 하락",-2.0
METROLINK,CorePositive,"[단독] 메트로 링크, 수도권 스마트 대중교통 허브 시스템 독점 구축",20.0
METROLINK,CoreNegative,"메트로 링크, 중앙 관제망 일시적 에러로 출퇴근 시간 혼선 발생",-15.0
METROLINK,Disaster,"[긴급] 메트로 링크, 자율주행 버스 충돌 사고 대규모 사망자 발생... 사업 폐쇄",-95.0
GLOBALROUTE,NormalPositive,"글로벌 루트, 태평양 횡단 초고속 해저 광케이블 포설 순항",4.0
GLOBALROUTE,NormalNegative,"글로벌 루트, 심해 지진으로 인한 복구 공사 비용 임시 선반영",-3.0
GLOBALROUTE,CorePositive,"[분석] 글로벌 루트, 국가간 데이터 전송 독점망 구축... 영업이익 폭등",24.0
GLOBALROUTE,CoreNegative,"글로벌 루트, 해저 통신망 점거 리스크 등 국제 분쟁 여파 발생",-16.0
GLOBALROUTE,Disaster,"[긴급] 글로벌 루트, 타국 첩보 기관과 국가 통신 데이터 백도어 유출 공모",-90.0
AIRLINK,NormalPositive,"에어 링크, UAM 실증 비행 무사고 1,000시간 달성",4.0
AIRLINK,NormalNegative,"에어 링크, 기체용 차세대 배터리 수급가 인상에 따른 수익성 저하",-3.0
AIRLINK,CorePositive,"[단독] 에어 링크, 제국 수도권 핵심 항공 노선 '운항 독점권' 획득",20.0
AIRLINK,CoreNegative,"에어 링크, 테스트 기체 도심 추락 사고 발생... 안전성 논란 증폭",-22.0
AIRLINK,Disaster,"[속보] 에어 링크, 불법 항로 운영 및 뇌물 수수 적발... 전 기체 압류",-95.0
CITYGUARD,NormalPositive,"시티 가드, 인공지능 기반 범죄 예방 감시 카메라 추가 수주",4.0
CITYGUARD,NormalNegative,"시티 가드, 지능형 모니터링 고사양 그래픽 하드웨어 구입비 부담",-3.0
CITYGUARD,CorePositive,"[특징주] 시티 가드, 제국 3대 대도시 통합 치안 시스템 구축 계약",22.0
CITYGUARD,CoreNegative,"시티 가드, AI 안면 인식 오작동으로 인한 인권 유린 소송 피소",-15.0
CITYGUARD,Disaster,"[속보] 시티 가드, 사설 해킹 그룹과 국가 VIP 동선 정보 거래 적발",-90.0
PIPELINE,NormalPositive,"파이프 라인, 중부 가스관 공급 안정화로 분기 매출액 개선",3.0
PIPELINE,NormalNegative,"파이프 라인, 부식 방지용 특수 페인트 단가 인상에 고전",-3.0
PIPELINE,CorePositive,"[단독] 파이프 라인, 제국 전역 관통 신규 원유 수송관 단독 운영권",21.0
PIPELINE,CoreNegative,"파이프 라인, 밸브 압력 결함으로 인한 수송 일시 정지 지연 발생",-12.0
PIPELINE,Disaster,"[긴급] 파이프 라인, 대규모 독성 화학물질 유출 사고로 환경 재앙 유발",-99.0
WAVECOMM,NormalPositive,"웨이브 통신, 가입자당 평균 매출(ARPU) 견조한 상승세 지속",3.0
WAVECOMM,NormalNegative,"웨이브 통신, 경쟁사 공격적 마케팅에 따른 가입자 유치 비용 증가",-4.0
WAVECOMM,CorePositive,"[단독] 웨이브 통신, 심해 해저 광케이블 글로벌 프로젝트 주도",22.0
WAVECOMM,CoreNegative,"웨이브 통신, 주요 해저 케이블 단선 사고로 국제 통신 장애 발생",-18.0
WAVECOMM,Disaster,"[긴급] 웨이브 통신, 국가 정보 당국과의 무단 도감청 협조 의혹",-90.0
SIGNALZERO,NormalPositive,"시그널 제로, 초고주파 안테나 전송 전력 효율 40% 개선",5.0
SIGNALZERO,NormalNegative,"시그널 제로, 6G 기지국 필드 테스트 비용으로 단기 적자 기록",-4.0
SIGNALZERO,CorePositive,"[특징주] 시그널 제로, 세계 최초 6G 이동통신 원천 특허 등록 완료",25.0
SIGNALZERO,CoreNegative,"시그널 제로, 경쟁사의 6G 특허 무효 심판 청구 소식에 급락",-18.0
SIGNALZERO,Disaster,"[속보] 시그널 제로, 상장 전 원천 특허 데이터 조작 및 허위 기술 사기",-95.0
LASTMILE,NormalPositive,"라스트 마일, 국토부 드론 배송 전용 비행로 시범 지정 소식",4.0
LASTMILE,NormalNegative,"라스트 마일, 드론 스테이션 전기 인입 비용 선반영으로 영업익 둔화",-3.0
LASTMILE,CorePositive,"[단독] 라스트 마일, 제국 전역 배달망 연계 드론 물류 독점 파트너십",22.0
LASTMILE,CoreNegative,"라스트 마일, 드론 전파 교란 테러 발생... 안전 가이드라인 강화 규제",-18.0
LASTMILE,Disaster,"[긴급] 라스트 마일, 불법 정찰 드론 운영 및 군사 정보 사진 무단 촬영",-90.0
FORESTLAB,NormalPositive,"포레스트 랩, 신규 천연물 영양제 라인업 동남아 시장 안착",4.0
FORESTLAB,NormalNegative,"포레스트 랩, 원재료 가격 상승에 따른 제조 원가 부담 증가",-3.0
FORESTLAB,CorePositive,"[특징주] 포레스트 랩, 글로벌 제약사와 5,000억 규모 CMO 공급 계약",25.0
FORESTLAB,CoreNegative,"포레스트 랩, 핵심 신약 후보 물질 임상 데이터 재검토 결정",-20.0
FORESTLAB,Disaster,"[긴급] 포레스트 랩, 유독 물질 함유된 가짜 약품 조직적 유통 적발",-99.0
WHITEMEDI,NormalPositive,"화이트 메디, 독감 백신 원료 해외 수주 증가세 확인",3.0
WHITEMEDI,NormalNegative,"화이트 메디, 콜드체인 보관 설비 전력료 상승으로 단기 실적 둔화",-2.0
WHITEMEDI,CorePositive,"[단독] 화이트 메디, 제국 국방부 군용 특수 백신 독점 생산 계약",21.0
WHITEMEDI,CoreNegative,"화이트 메디, 보건소 백신 납품 과정에서 온도 유지 불량 사과문",-15.0
WHITEMEDI,Disaster,"[긴급] 화이트 메디, 맹독성 미생물 유출 사고로 인근 공장 잠정 폐쇄",-99.0
PURESCIENCE,NormalPositive,"퓨어 사이언스, 신형 초간편 호흡기 진단 키트 출시",4.0
PURESCIENCE,NormalNegative,"퓨어 사이언스, 검체 시약용 희귀 효소 관세 인상에 마진율 압박",-3.0
PURESCIENCE,CorePositive,"[속보] 퓨어 사이언스, 글로벌 바이오 유통망 진단 시약 단독 독점 공급",22.0
PURESCIENCE,CoreNegative,"퓨어 사이언스, 일부 공급 진단 키트 불량 보고로 리콜 비용 반영",-12.0
PURESCIENCE,Disaster,"[속보] 퓨어 사이언스, 가짜 불량 진단 키트의 조직적 대량 유통 덜미",-95.0
NEURONBIO,NormalPositive,"뉴런 바이오, BCI 뇌파 분석 정확도 업계 최고 수준 달성",5.0
NEURONBIO,NormalNegative,"뉴런 바이오, 고가 연구 장비 리스 비용 증가로 단기 실적 둔화",-4.0
NEURONBIO,CorePositive,"[속보] 뉴런 바이오, 파킨슨병 치료용 뇌 임플란트 임상 성공",24.0
NEURONBIO,CoreNegative,"뉴런 바이오, 핵심 연구진의 경쟁사 집단 이직으로 기술 유출 우려",-18.0
NEURONBIO,Disaster,"[긴급] 뉴런 바이오, 인체 실험 윤리 규정 위반 및 불법 실험 적발",-90.0
GENEMATRIX,NormalPositive,"진 매트릭스, 유전자 가위 절단 정확도 99.9% 도달",5.0
GENEMATRIX,NormalNegative,"진 매트릭스, 유전체 교정 장비 사용료 부담으로 단기 적자 기록",-4.0
GENEMATRIX,CorePositive,"[특징주] 진 매트릭스, 희귀 혈액 질환 유전자 가위 임상 승인 성공",24.0
GENEMATRIX,CoreNegative,"진 매트릭스, 바이오 윤리 위원회의 유전자 복제 규제 강화 성명",-16.0
GENEMATRIX,Disaster,"[긴급] 진 매트릭스, 비인가 유전자 조작 실험을 통한 키메라 태아 적발",-99.0
CELLEFFECT,NormalPositive,"셀 이펙트, 손상 관절 재생 줄기세포 치료제 식약처 품목 허가",4.0
CELLEFFECT,NormalNegative,"셀 이펙트, 줄기세포 배양 배지 단가 인상에 따른 원가율 상승",-3.0
CELLEFFECT,CorePositive,"[단독] 셀 이펙트, 손상 신경계 세포 복구 기술 특허권 최종 확보",20.0
CELLEFFECT,CoreNegative,"셀 이펙트, 임상 과정 내 비정상 종양 발생 사례 보고로 임상 연기",-18.0
CELLEFFECT,Disaster,"[긴급] 셀 이펙트, 환자 동의 없는 타인 줄기세포 무단 복제 이식 적발",-90.0
LIFECURE,NormalPositive,"라이프 큐어, 희귀 난치병 치료제 유럽 판매 허가 획득",4.0
LIFECURE,NormalNegative,"라이프 큐어, 신약 홍보 마케팅비 집중 투입에 따른 적자 전환",-5.0
LIFECURE,CorePositive,"[분석] 라이프 큐어, 암 정복 기술 상용화 임박... 기업 가치 재평가",25.0
LIFECURE,CoreNegative,"라이프 큐어, 라이벌사의 유사 기전 신약 선점 뉴스에 하락세",-15.0
LIFECURE,Disaster,"[긴급] 라이프 큐어, 조작된 임상 데이터로 식약청 승인 취득 적발",-99.0
VIRUSX,NormalPositive,"바이러스 X, 변종 인플루엔자 예방 치료제 해외 테스트 개시",5.0
VIRUSX,NormalNegative,"바이러스 X, 실험용 바이러스 분양 수수료 부담 가중 공시",-3.0
VIRUSX,CorePositive,"[분석] 바이러스 X, 신종 코로나 변종 면역 물질 독점 생산 개시",23.0
VIRUSX,CoreNegative,"바이러스 X, 신약 후보 물질의 타사 특허 침해 소송 최종 피소",-15.0
VIRUSX,Disaster,"[속보] 바이러스 X, 자체 배양 중이던 슈퍼 바이러스 외부 유출 확인 및 상폐",-98.0
BIOSYNC,NormalPositive,"바이오 싱크, 인공 각막 생체 적합성 1차 테스트 성공",4.0
BIOSYNC,NormalNegative,"바이오 싱크, 인공 파츠 생산 정밀 기계 리스료 상승 부담",-3.0
BIOSYNC,CorePositive,"[특징주] 바이오 싱크, 제국 보훈처와 인공 의수/의족 단독 공급 계약",22.0
BIOSYNC,CoreNegative,"바이오 싱크, 일부 시제품 내 유해 중금속 미량 검출 루머에 급락",-18.0
BIOSYNC,Disaster,"[긴급] 바이오 싱크, 상장 전 가짜 인공 신장 허위 임상 및 분식 회계 적발",-95.0
WINGSLOGIS,NormalPositive,"윙스 로직스, 물류 자동화 수율 개선으로 영업이익률 상승",3.0
WINGSLOGIS,NormalNegative,"윙스 로직스, 국제 유가 급등에 따른 항공 운송비 부담 가중",-4.0
WINGSLOGIS,CorePositive,"[단독] 윙스 로직스, 자율주행 드론 배송 서비스 '전역 상용화'",22.0
WINGSLOGIS,CoreNegative,"윙스 로직스, 주요 물류 허브 터미널 대규모 파업으로 배송 중단",-18.0
WINGSLOGIS,Disaster,"[긴급] 윙스 로지스, 고가 배송 물품 대규모 조직적 횡령 적발",-90.0
SKYNET,NormalPositive,"스카이 넷, '스카이 링크' 남반구 기지국 추가 개설",4.0
SKYNET,NormalNegative,"스카이 넷, 우주 쓰레기 충돌 방지 회피 기동으로 위성 수명 소폭 하락",-3.0
SKYNET,CorePositive,"[속보] 스카이 넷, 전세계 해상/항공 통신망 위성 링크 독점 공급 계약",23.0
SKYNET,CoreNegative,"스카이 넷, 태양풍 발 자기 폭풍 여파로 단기 위성 통신 지연 보고",-15.0
SKYNET,Disaster,"[긴급] 스카이 넷, 제국 주요 정찰 위성 해킹 당해 중앙 제어권 상실",-95.0
AIRCARRIER,NormalPositive,"에어 캐리어, 분기 여객 탑승률(L/F) 92% 돌파로 어닝 서프라이즈",4.0
AIRCARRIER,NormalNegative,"에어 캐리어, 국제 항공 유가 부담 가중으로 단기 영업익 하락",-4.0
AIRCARRIER,CorePositive,"[단독] 에어 캐리어, 글로벌 다국적 물류 기업과 대규모 독점 화물 수송 계약",21.0
AIRCARRIER,CoreNegative,"에어 캐리어, 자사 항공 노선 승무원 총파업 결의로 운항 일시 차질",-18.0
AIRCARRIER,Disaster,"[속보] 에어 캐리어 대형 화물선, 엔진 결함으로 도심 인근 추락 참사",-99.0
BLUESKY,NormalPositive,"블루 스카이, 하계 성수기 노선 예약률 98%로 역대 최고치",4.0
BLUESKY,NormalNegative,"블루 스카이, 기체 노후화에 따른 안전 점검 비용 선반영",-3.0
BLUESKY,CorePositive,"[분석] 블루 스카이, 저가 항공 시장 점유율 1위 탈환 성공",20.0
BLUESKY,CoreNegative,"블루 스카이, 신규 노선 운수권 배분 제외로 성장 동력 약화",-15.0
BLUESKY,Disaster,"[긴급] 블루 스카이 경영진, 비자금 조성을 위한 불법 유상증자",-90.0
ORBITALTECH,NormalPositive,"오비탈 테크, 민간 위성 3기 저궤도 안착 성공",4.0
ORBITALTECH,NormalNegative,"오비탈 테크, 발사대 유지보수용 특수 내열재 가격 상승 부담",-3.0
ORBITALTECH,CorePositive,"[단독] 오비탈 테크, 향후 3년간 로켓 발사 대행 20회 단독 계약",22.0
ORBITALTECH,CoreNegative,"오비탈 테크, 기상 악화로 인한 차세대 다목적 위성 발사 일정 무기한 연기",-15.0
ORBITALTECH,Disaster,"[긴급] 오비탈 테크, 연소 시험 중 로켓 폭발로 메인 발사 패드 전체 완파",-90.0
JETSTREAM,NormalPositive,"젯 스트림, 이온 추진체 연료 소비 효율 15% 개선 성공",3.0
JETSTREAM,NormalNegative,"젯 스트림, 추진체 블레이드 합금 수입 가격 폭등에 고전",-3.0
JETSTREAM,CorePositive,"[특징주] 젯 스트림, 초음속 여객기용 특수 하이브리드 엔진 수출 계약",25.0
JETSTREAM,CoreNegative,"젯 스트림, 군용 전투기 탑재 엔진 설계 결함으로 보상 요구 직면",-18.0
JETSTREAM,Disaster,"[속보] 젯 스트림, 군사 기술 무단 해외 유출 및 횡령 혐의 대표 구속",-95.0
AURORAAERO,NormalPositive,"오로라 에어로, 민간 우주 관광 대기 명단 1만 명 돌파",5.0
AURORAAERO,NormalNegative,"오로라 에어로, 차세대 발사체 연료 가격 인상에 따른 실적 둔화",-3.0
AURORAAERO,CorePositive,"[단독] 오로라 에어로, 제국 항공우주국 달 정거장 건설 참여",25.0
AURORAAERO,CoreNegative,"오로라 에어로, 로켓 엔진 연소 테스트 도중 폭발 사고 발생",-22.0
AURORAAERO,Disaster,"[속보] 오로라 에어로 우주 관광선, 궤도 이탈 후 승객 전원 실종",-95.0
COSMOSX,NormalPositive,"코스모스 X, 심우주 탐사선 '오디세이 호' 순항 중",5.0
COSMOSX,NormalNegative,"코스모스 X, 심우주 통신 중계국 건립 예산 과다 지출로 적자",-4.0
COSMOSX,CorePositive,"[단독] 코스모스 X, 소행성 지대 도달 및 희귀 자원 매장 샘플 공식 확인",25.0
COSMOSX,CoreNegative,"코스모스 X, 탐사 위성 안테나 전개 실패로 통신 두절 루머",-18.0
COSMOSX,Disaster,"[긴급] 코스모스 X, 탐사선 폭발 사실 은폐 및 투자 유치용 허위 보고서 적발",-99.0
GALAXYMINING,NormalPositive,"갤럭시 마이닝, 소행성 채굴선용 자율 로봇 장비 시험 가동",4.0
GALAXYMINING,NormalNegative,"갤럭시 마이닝, 희토류 대체재 연구 개발 예산 증액에 이익 감소",-3.0
GALAXYMINING,CorePositive,"[특징주] 갤럭시 마이닝, 제국 우주 자원 위원회 '소행성 채굴권' 최초 획득",22.0
GALAXYMINING,CoreNegative,"갤럭시 마이닝, 채굴 로봇 팔 기계 고장으로 소행성 자원 회수 연기",-16.0
GALAXYMINING,Disaster,"[긴급] 갤럭시 마이닝, 상장 전 채굴 자원 함량 조작 사기 및 분식 회계 적발",-95.0
MORNINGBREW,NormalPositive,"모닝 브루, 신규 에너지 드링크 '네온 샷' 판매 호조",3.0
MORNINGBREW,NormalNegative,"모닝 브루, 국제 원두 수입 가격 상승에 따른 마진율 하락",-3.0
MORNINGBREW,CorePositive,"[특징주] 모닝 브루, 글로벌 프랜차이즈 점포 수 세계 1위 등극",18.0
