StockId,Type,Tier1Text,Tier2Text,Tier3Text
CodeMaster,Bullish,"코드 마스터가 만든 AI가 코딩 다 해준대. 이제 개발자 필요 없는 거 아냐? 주가 대박 나겠네.","IT 쪽 코드 마스터가 구글보다 좋은 코딩 AI 개발했어. 실리콘밸리 자금 대거 유입 중이래.","코드 마스터가 내일 애플이랑 협력 발표해. AI 코드 어시스턴트 기본 탑재라는데 떡상 가야지."
CodeMaster,Bearish,"코드 마스터 잘하는 애들 다 나갔다며? 사장이 성격이 안 좋은가 봐. 종목 조심해.","IT 쪽 코드 마스터 핵심 엔지니어 10명이 경쟁사로 튀었대. 기술 유출 소송 걸릴 텐데 주가가 견디겠어?","코드 마스터 개발 팀장이 라이벌 회사로 이직했어. 내부 프로젝트 다 중단됐으니까 당장 매도해."
IronBrain,Bullish,"아이언 브레인 칩 없어서 못 판대. 공장 24시간 풀가동이라는데 주주들 싱글벙글이겠어.","IT 쪽 아이언 브레인이 엔비디아 잡으러 온대. 이번에 나온 칩 성능이 압도적이라는데?","아이언 브레인이 내일 삼성에 칩 공급 계약 공시 낼 거야. 이거 뜨면 상한가 직행이다."
IronBrain,Bearish,"야, 아이언 브레인 공장에서 연기 나는 거 본 사람? 큰불 아니어야 할 텐데 걱정이네.","IT 쪽 아이언 브레인 메인 공장 불타서 전소됐대. 복구에만 1년 걸린다는데 주가는 이미 끝났지.","아이언 브레인 화재 원인이 고의 방화래. 보험금도 못 받게 생겼으니까 무조건 도망쳐."
GhostShell,Bullish,"고스트 쉘이 나라 지키는 일을 한대. 얼마나 대단하면 나라에서 일을 맡기겠어?","IT 쪽 고스트 쉘이 국방부랑 수천억 규모 보안 계약 맺었어. 이제 망할 일은 없겠네.","고스트 쉘이 내일 사이버사령부랑 전략적 제휴 맺는대. 이거 비밀리에 진행 중인 거니까 조용히 사둬."
GhostShell,Bearish,"고스트 쉘 뚫렸다는 소문 들었어? 귀신같이 털렸다는데 이름값 못하네.","IT 쪽 고스트 쉘 메인 DB가 통째로 지워졌대. 백업도 안 돼서 난리 났다더라. 환불 요구만 수조 원이래.","고스트 쉘 뚫은 해커가 내부 보안 코드 다 공개했어. 기업 가치 제로니까 당장 전량 매도해."
ZeroPixel,Bullish,"너도 픽셀 월드 해? 내 주변 애들 다 그거 하더라. 제로 픽셀 주식 사야 하는 거 아냐?","IT 쪽 제로 픽셀이 메타버스 1위 찍었어. 광고 수익만 해도 상상 초월이라는데 주가 떡상은 당연하지.","제로 픽셀이 내일 디즈니랑 가상 테마파크 협약 맺어. 전고점 돌파는 껌이지."
ZeroPixel,Bearish,"픽셀 월드에서 이상한 일 벌어진다며? 애들 교육에 안 좋다고 뉴스에 나오고 난리야.","IT 쪽 제로 픽셀이 정부 규제 직격탄 맞았어. 서비스 영구 정지 처분 내려질 수도 있다는데 도망쳐!","제로 픽셀 대표가 가상 세계 범죄 묵인 혐의로 구속 수사 중이래. 상장폐지 절차 밟는다더라."
Stardust,Bullish,"별가루(스타더스트) 동네에 대왕 별이 하나 내려앉았어. 이거 뜨면 끝장이지, 응?","엔터 대장 스타더스트가 그 유명한 월드클래스 가수랑 계약 도장 찍었대. 주가 펌핑 가즈아!","스타더스트가 오늘 밤에 글로벌 팝스타랑 전속 계약 공시 띄울 거야. 지금 풀매수 때려라."
Stardust,Bearish,"별가루 애들 중 하나가 판돈 크게 걸다가 걸렸대. 별이 지는 소리 들리지? 빨리 팔아.","엔터 쪽 스타더스트 소속 메인 급이 불법 도박 조사받는 중이래. 뉴스 뜨면 바로 상폐 가니까 튀어!","스타더스트 간판 아이돌 멤버가 카지노에서 걸렸어. 내일 아침 보도 나오니까 무조건 전량 매도해."
StudioLuna,Bullish,"달나라(루나)가 만든 드라마가 지구를 다 덮었대. 돈 벼락 떨어진다, 준비됐어?","스튜디오 루나 작품이 글로벌 OTT에서 1위 찍었어. 제작비의 10배는 뽑았다는데? 가즈아!","스튜디오 루나의 더달링이 오늘 넷플릭스 세계 1위 확정됐어. 내일 상한가니까 무조건 사."
StudioLuna,Bearish,"달나라 소속 배우가 약에 취해서 하늘 날았대. 드라마 제작 중단이고 자산 압류 직전이야. 튀어!","엔터 쪽 루나 주연 배우가 약하다 걸렸어. 투자금 회수 들어가고 주가 박살 날 거다, 조심해.","스튜디오 루나 신작 주인공이 마약 사실 자수했어. 내일 공시 뜨면 투자사들 다 등 돌릴 거야. 팔아!"
NextOne,Bullish,"가짜 인간(Next One)들이 진짜 돈을 벌어다 줄 거래. 이거 혁명이다, 형 믿고 타봐.","엔터 쪽 넥스트 원이 만든 버츄얼 그룹이 해외 차트 씹어 먹었어. 가상 자산 가치 상향 가즈아!","넥스트 원의 가상 아이돌이 빌보드 진입 성공했어. 유지비 적고 수익성 대박이라 주가 뛴다."
NextOne,Bearish,"넥스트 원 홀로그램 공연 봤어? 지지직거리다가 그냥 꺼지던데. 사람들 다 환불해달라고 난리야.","엔터 쪽 넥스트 원 공연 장비가 통째로 고장 났대. 이미 팔린 티켓값만 수십억인데 이거 어떻게 감당하냐?","넥스트 원 핵심 부품 결함 뉴스 내일 아침에 터져. 공연 일정 다 취소되니까 주가 폭락하기 전에 던져."
RoyalMedia,Bullish,"로열 미디어에서 만든 드라마 대박 났대. 전 세계 사람들이 다 본다는데 광고비 장난 아니겠다.","엔터 쪽 로열 미디어가 넷플릭스 1위 찍었어. 시즌 2 제작 확정이라는데 주가 떡상은 예약이지.","로열 미디어 시청률 공시 내일 나와. 예상치 3배 상회한다니까 상한가 준비해."
RoyalMedia,Bearish,"로열 미디어 간판 앵커 봤어? 무슨 사고 쳤다던데 방송국 이미지 다 깎아 먹네.","엔터 쪽 로열 미디어 뉴스 공정성 논란 터졌어. 시청 거부 운동 일어난다는데 광고주들 다 빠져나간대.","로열 미디어 앵커 스캔들 내일 아침에 사진이랑 다 같이 터져. 주가 반토막 확정이니까 지금 팔아."
CinemaHolic,Bullish,"시네마 홀릭 영화관 자리 없어서 못 간다며? 영화 한 편으로 돈방석 앉았네.","엔터 쪽 시네마 홀릭 신작이 할리우드에서 리메이크된대. 판권료만 수백억이라는데?","시네마 홀릭 천만 돌파 공시 내일 아침이야. 선반영 안 됐으니까 지금 사면 무조건 먹어."
CinemaHolic,Bearish,"야, 시네마 홀릭 이번 영화 봤어? 재미없어서 관객 한 명도 없더라. 제작비 어떡하냐.","엔터 쪽 시네마 홀릭이 500억 넘게 쓴 영화가 완전히 망했어. 손실액이 기업 시총급이라는데 도망쳐!","시네마 홀릭 이번 주 금요일에 파산설 돌아. 흥행 참패로 자금줄 막혔다니까 전량 매도해."
PopCore,Bullish,"팝 코어 노래 요즘 길거리에서 맨날 들려. 애들이 노래를 잘 뽑긴 하네. 주가 오르겠지?","엔터 쪽 팝 코어 신인 그룹이 빌보드 HOT 100 들어갔대. K-POP 역사 새로 쓴다더라.","팝 코어 빌보드 1위 확정 기사 내일 새벽에 떠. 해외 자금 대거 유입될 거니까 미리 타."
PopCore,Bearish,"팝 코어 노래 그거 AI가 훔친 거라며? 노래가 좋더라니... 소송 걸리면 끝 아니야?","엔터 쪽 팝 코어 음원들이 대규모 저작권 소송 휘말렸어. 승소 가능성 제로라는데 로열티 다 토해내게 생겼어.","팝 코어 음원 서비스 일시 중단 명령 내려졌어. 내일 공시 뜨면 하한가니까 당장 팔아."
VisualArt,Bullish,"비주얼 아트 그래픽 봤어? 진짜 사람 같더라. 전 세계 게임사들이 다 얘네 기술 쓴대.","엔터 쪽 비주얼 아트가 언리얼 엔진이랑 파트너십 맺었어. 이제 모든 블록버스터에 얘네 로고 박힌다.","비주얼 아트 기술 수출 계약 내일 발표야. 계약금만 시총 절반 수준이라는데 떡상 가야지."
VisualArt,Bearish,"비주얼 아트 컴퓨터 다 날아갔다며? 백업도 안 해놔서 작업 중인 거 다 증발했대.","엔터 쪽 비주얼 아트 메인 서버 터졌어. 영화 제작 일정 다 꼬이고 위약금만 수천억이라더라.","비주얼 아트 기술 유출 사실로 밝혀졌어. 핵심 엔진 소스코드 공개됐다니까 기업 가치 똥값 됐어."
DarkHorse,Bullish,"다크 호스에서 낸 게임 요즘 난리야. 스팀 판매 1위라는데 이름값 제대로 하네.","엔터 쪽 다크 호스가 대박 터뜨렸어. 개발비 1억 썼는데 수익이 1000억이래. 배당 기대해도 되겠는데?","다크 호스 인수 제안 들어왔대. 텐센트가 시가 2배로 부른다니까 무조건 풀매수 가자."
DarkHorse,Bearish,"다크 호스랑 같이 일하던 애들 다 나갔대. 사장이 갑질이라도 했나? 분위기 안 좋네.","엔터 쪽 다크 호스 주력 라인업이 다 깨졌어. 개발사들이 계약 해지 통보했다더라. 이제 팔 물건이 없어.","다크 호스 자금난으로 개발사 정산 밀렸대. 내일 부도 기사 나오니까 지금 당장 전량 매도해."
SocialMix,Bullish,"요즘 다들 소셜 믹스만 해. 틱톡보다 재밌다는데? 주식 사두면 돈 좀 벌겠어.","엔터 쪽 소셜 믹스가 메타(페이스북) 잡으러 가. 가입자 증가 폭이 미쳤다니까? 광고주들 줄 섰어.","소셜 믹스 월간 활성자 수 공시 내일 떠. 예상치 2배라는데 이거 뜨면 바로 상한가야."
SocialMix,Bearish,"소셜 믹스가 우리 대화 다 도청한다며? 이거 무서워서 쓰겠어? 탈퇴 러시 일어날걸.","엔터 쪽 소셜 믹스가 유럽에서 서비스 금지당했어. 벌금만 조 단위라는데 회사 망하는 건 순식간이지.","소셜 믹스 DB 해킹돼서 모든 유저 비공개 영상 다 털렸어. 내일 뉴스 터지면 주가 90% 폭락이야."
SConnect,Bullish,"연결하는 거 하나는 끝내주는 S네 집이 대박 났어. 온 나라가 얘네 손안에 들어온다니까?","인프라 대장 S-커넥트가 나라에서 추진하는 6G 사업 다 먹었어. 독점이니까 이제 부르는 게 값이지.","S-커넥트가 내일 정부랑 수조 원대 6G 망 구축 조인식 해. 이거 정보 늦게 뜨니까 지금 사."
SConnect,Bearish,"S네 망 다 끊겼어. 사람들 전화도 안 되고 난리 났는데 주가가 버티겠어? 빨리 팔어!","인프라 쪽 S-커넥트 메인 서버 터졌대. 국가 마비 사태라 손해 배상 규모가 상상 초월이야, 튀어!","S-커넥트 전국망이 12시간 동안 마비됐어. 내일 정부 제재랑 위약금 공시 뜨니까 하한가 확정이야."
AirLink,Bullish,"하늘에 선 긋는(에어 링크) 애들이 우주까지 닿았대. 이제 안 뚫리는 데가 없다는데? 돈 냄새 나지?","인프라 쪽 에어 링크가 스페이스X급 기술 완성했어. 위성 통신 요금 챙길 생각에 벌써 싱글벙글이래.","에어 링크 위성 통신 서비스가 내일 전 세계 동시 런칭해. 독점 수혜니까 지금 풀매수 가자."
AirLink,Bearish,"하늘로 쏘아 올린 돈다발(위성)이 공중분해 됐어. 에어 링크네 지갑 구멍 났으니까 조심해!","인프라 쪽 에어 링크 위성이 폭발했대. 보험도 안 들어놨다는데? 주가 추락 속도는 위성보다 빠를걸?","에어 링크 핵심 위성 3기가 발사 직후 태평양에 떨어졌어. 재검토만 3년이라니까 당장 매도해."
WaveComm,Bullish,"물결(웨이브) 치는 바다 밑바닥에 금줄 깔았대. 웨이브네 집 가업 번창하겠어, 응?","인프라 쪽 웨이브 통신이 글로벌 해저 케이블 사업 다 먹었어. 통계만 봐도 이건 10배 수익각이야.","웨이브 통신이 구글/메타 해저 망 공고 따냈어. 내일 아침 계약 발표니까 지금 미리 태워둬."
WaveComm,Bearish,"방금 뉴스 봤어? 인프라 쪽 위성 쏘아 올리다가 공중에서 뻥 터졌대. 웨이브 통신 아니야?","인프라 쪽 웨이브 통신이 수천억 들인 위성 터졌어. 보험도 안 들어놨다는데 이거 복구 가능하겠어?","웨이브 통신 발사 실패 공시 내일 정오에 떠. 후속 발사 예산도 없다니까 무조건 다 팔아."
MetroLink,Bullish,"지하철 탈 때마다 메트로 링크 로고 보이더라. 도시 전체를 얘네가 관리한다며? 안정적이네.","인프라 쪽 메트로 링크가 수도권 통합 결제망 다 먹었어. 수수료만 받아도 시총 몇 배는 벌걸?","메트로 링크 요금 인상안 내일 발표야. 수익성 대폭 개선될 거니까 지금 미리 사둬."
MetroLink,Bearish,"오늘 지하철 왜 안 와? 메트로 링크 서버 터졌다는데 출근길 난리도 아니었어.","인프라 쪽 메트로 링크 관제 시스템이 해킹당했대. 복구 안 되면 국가 비상사태라는데 주가가 버티겠어?","메트로 링크 하청 업체 비리 터졌어. 안전 등급 F 나왔다니까 내일 아침에 무조건 던져."
GlobalRoute,Bullish,"인터넷 빨라진 거 느껴져? 글로벌 루트가 바다 밑에 새 줄 깔았다던데. 역시 대단해.","인프라 쪽 글로벌 루트가 대륙 간 초고속망 완공했어. 구글, 아마존이 줄 서서 계약한다더라.","글로벌 루트 분기 배당금 2배 인상 공시 내일 나와. 안정적인 수익주 찾으면 무조건 이거야."
GlobalRoute,Bearish,"바닷속 지진 나서 인터넷 끊겼대. 글로벌 루트 선박들 다 출동했다는데 고치려면 한참 걸리겠지?","인프라 쪽 글로벌 루트 메인 케이블이 다 끊겼어. 복구비용만 조 단위라는데 이번 분기 적자 확정이야.","글로벌 루트 핵심 노드 복구 불가능 판정 났어. 내일 뉴스 터지기 전에 지금 당장 다 팔아."
CityGuard,Bullish,"요즘 나쁜 짓 못 해. 시티 가드 카메라가 다 보고 있거든. 범죄율 뚝 떨어지겠어.","인프라 쪽 시티 가드가 전국 100개 도시 보안망 수주했어. 독점 수준이라 매출 걱정은 없네.","시티 가드 내일 국방부랑 전략적 제휴 맺어. 지능형 경계 시스템 도입이라는데 떡상 가야지."
CityGuard,Bearish,"시티 가드가 우리 사생활 다 훔쳐본대. 이거 인권 침해 아니야? 소송 걸리고 난리 났어.","인프라 쪽 시티 가드 내부 직원이 관제 영상 유출했대. 신뢰도 박살 났으니까 정부 계약 다 끊기겠어.","시티 가드 서비스 일시 중단 명령 내려졌어. 내일 뉴스 터지면 하한가니까 당장 전량 매도해."
PipeLine,Bullish,"파이프 라인이 이번엔 수소를 보낸대. 가스보다 훨씬 비싸다는데 돈 긁어모으겠어.","인프라 쪽 파이프 라인이 정부 수소 로드맵 핵심 파트너야. 배당률 5% 넘는다니까? 쟁여둬.","파이프 라인 내일 대규모 공급 계약 체결 공시 떠. 러시아 쪽 가스관 대체한다니까 대박이지."
PipeLine,Bearish,"저기 강물 색깔 왜 저래? 파이프 라인에서 기름 샜다는데? 물고기 다 죽고 난리도 아니야.","인프라 쪽 파이프 라인 폭발 사고 났어. 피해 보상액만 시총 절반이라는데 회사 휘청거린다.","파이프 라인 관리 소홀로 형사 고소당했어. 내일 사장 구속 기사 나오니까 당장 팔아."
SignalZero,Bullish,"6G 시대가 온대. 시그널 제로가 그 기술 다 가지고 있다며? 이제 모든 통신사가 얘네한테 돈 내야 해.","인프라 쪽 시그널 제로가 퀄컴이랑 특허 공유 계약 맺었어. 로열티 수익만 해도 상상 초월이야.","시그널 제로 내일 나스닥 상장 소식 떠. 한국 주식들 다 팔고 이거 사야 한다니까?"
SignalZero,Bearish,"6G 주파수 쬐면 몸에 안 좋대. 시그널 제로 주식 가진 사람들 다 팔고 있다는데 너도 조심해.","인프라 쪽 시그널 제로 기술이 발암 물질 유발한다는 연구 결과 나왔어. 사업 허가 취소될 수도 있대.","시그널 제로 기술 표준에서 탈락했어. 내일 공시 뜨면 상폐 냄새 진동하니까 당장 던져."
LastMile,Bullish,"하늘에 드론 떠다니는 거 봤어? 라스트 마일이 드디어 허가받았대. 택배 이제 하늘로 다닌다.","인프라 쪽 라스트 마일이 쿠팡이랑 드론 배송 협약 맺었어. 배송비 획기적으로 줄어든다더라.","라스트 마일 내일 오전 9시에 국토부 승인 공시 떠. 이거 뜨면 바로 점상이야."
LastMile,Bearish,"드론이 사람 머리 위로 떨어졌대! 라스트 마일 거라는데 무서워서 살겠나. 규제 다시 심해질걸.","인프라 쪽 라스트 마일 드론이 아파트 베란다 들이받고 불났어. 안전성 논란 때문에 사업 중단 위기야.","라스트 마일 드론 결함 은폐 사실 드러났어. 전량 회수 명령 내려졌으니까 지금 당장 다 팔아."
ForestLab,Bullish,"숲속 연구실(포레스트)에서 불로초 만들었대. 형 믿지? 이거 뜨면 바로 졸업이야.","바이오 대장 포레스트 랩이 미국에서 암 고치는 약 승인받았어. 이제 달러로 긁어모은다니까?","포레스트 랩 신약이 FDA 관문 넘었어. 내일 아침 공시 뜨면 넌 연락도 안 될 거야. 지금 사."
ForestLab,Bearish,"숲 동네 약 먹고 사람 죽었대. 연구실 폐쇄되고 난리 났으니까 너도 같이 죽기 싫으면 팔아.","바이오 쪽 포레스트 랩 임상 환자들이 단체로 위독하대. 시판 중지 각이니까 하한가 가기 전에 던져.","포레스트 랩 임상 3건에서 치명적인 부작용 발견됐어. 내일 아침 보도 나오니까 무조건 팔아."
NeuronBio,Bullish,"머리 아픈 거 고치는(뉴런) 애들이 사고 쳤어. 휠체어 타던 사람들이 뛰어다닌다니까? 돈 벼락이다!","바이오 쪽 뉴런 바이오가 뇌신경 재생 기술 완성했어. 이거 기술 수출만 수조 원대야, 형 믿지?","뉴런 바이오가 화이자랑 조 단위 기술 수출 계약 맺었어. 내일 아침 티커 폭발하니까 지금 가자."
NeuronBio,Bearish,"뉴런네 데이터 다 가짜래. 의사들이랑 짜고 치다가 걸렸다는데? 상폐 냄새 나니까 튀어!","바이오 쪽 뉴런 바이오 연구 소장이 데이터 뻥튀기한 거 자수했어. 신뢰도 바닥이니까 주가도 바닥이야.","뉴런 바이오 임상 2상 결과가 조작된 거 식약처가 잡아냈어. 상폐 실질 심사 들어가니까 빨리 던져."
LifeCure,Bullish,"수명 늘려주는(라이프 큐어) 박스가 전 세계로 팔려 나간대. 이거 사두면 진짜 명 짧아질 일 없어.","바이오 쪽 라이프 큐어가 만든 진단 키트가 UN 공식 물품 됐어. 판매량이 상상 초월이라는데?","라이프 큐어가 유럽 전역에 진단 키트 독점 공급 계약했어. 내일 공시 뜨면 너 못 산다, 지금 사."
LifeCure,Bearish,"라이프 큐어 집안에 돈이 없나 봐. 유저들 지갑 털어서 메꾼다는데? 빨리 탈출해!","바이오 쪽 라이프 큐어가 대규모 유상 증자 때렸어. 주식 가치 희석되고 개미들만 지옥 가는 거야.","라이프 큐어가 운영 자금 부족해서 공장 팔고 증자한대. 내일 공시 나오니까 하한가 조심해."
WhiteMedi,Bullish,"화이트 메디가 나라에서 시키는 약 다 만든대. 국가가 보증하는 거니까 망할 일은 없겠지?","바이오 쪽 화이트 메디가 공공 백신 물량 80%를 가져갔어. 안정적인 매출 찍힐 거니까 미리 사둬.","화이트 메디가 내일 정부랑 수천억 규모 공급 계약 사인해. 배당도 늘린다니까 잭팟이지."
WhiteMedi,Bearish,"야, 화이트 메디 창고 냉장고 고장 났대. 만든 약 다 버려야 한다는데 이거 손해액이 얼마야?","바이오 쪽 화이트 메디가 유통하던 백신이 상했어. 보상금 문제 때문에 이번 분기 적자 확정이야.","화이트 메디 식약처에서 영업 정지 처분 내일 내려져. 관리 소홀로 걸렸다니까 당장 전량 매도해."
PureScience,Bullish,"퓨어 사이언스 키트가 엄청 정확하대. 이제 병원 안 가도 된다는데? 대박 상품이야.","바이오 쪽 퓨어 사이언스가 미국 FDA 승인받았어. 전 세계로 수출 나간다니까 주가 떡상은 당연하지.","퓨어 사이언스 내일 월마트랑 공급 계약 공시 떠. 이거 뜨면 몇 연상 갈지 모른다."
PureScience,Bearish,"야, 퓨어 사이언스 키트가 다 엉터리래. 음성인데 양성 나오고 난리야. 사람들 다 화났어.","바이오 쪽 퓨어 사이언스가 불량 키트 100만 개 리콜한대. 신뢰도 박살 났고 위약금 폭탄 터질 거야.","퓨어 사이언스 진단 오류 은폐 사실 드러났어. 내일 검찰 수사 들어오니까 무조건 도망쳐."
GeneMatrix,Bullish,"진 매트릭스가 유전병 고치는 기술 만들었대. 이제 노벨상 받는 거 아냐? 주가 미칠걸.","바이오 쪽 진 매트릭스가 불치병 치료제 임상 성공했어. 전 세계 제약사들이 라이선스 사려고 줄 섰대.","진 매트릭스 내일 화이자에 기술 수출 계약 공시 낼 거야. 시총 2배 점프는 기본이지."
GeneMatrix,Bearish,"진 매트릭스가 만든 기술로 태어난 애들이 이상하대. 윤리적으로 문제 있다고 뉴스 나오고 난리야.","바이오 쪽 진 매트릭스가 임상 중지 명령받았어. 유전자 변형 위험 때문에 사업권 박탈될 수도 있대.","진 매트릭스 실험 도중 사망 사고 발생했어. 내일 아침 뉴스 터지니까 당장 전량 매도해."
CellEffect,Bullish,"셀 이펙트가 인공 간을 만들었대! 이제 장기 기증 안 기다려도 되는 거야? 주가 떡상이다.","바이오 쪽 셀 이펙트 기술력이 세계 최고래. 글로벌 병원 체인이랑 협약 맺고 상용화 들어간다더라.","셀 이펙트 내일 오전 10시에 정부 혁신 기술 선정 공시 떠. 이거 뜨면 바로 상한가 직행이야."
CellEffect,Bearish,"야, 셀 이펙트 약 먹은 사람들 암 걸렸대. 세포가 이상하게 자란다는데 이거 무서워서 쓰겠어?","바이오 쪽 셀 이펙트 치료제가 발암 물질로 분류됐어. 판매 금지 처분 내려질 텐데 회사 망하는 건 순식간이지.","셀 이펙트 내부 임상 결과 조작 사실 유출됐어. 실제론 암 발생률 50%라니까 당장 도망쳐."
VirusX,Bullish,"바이러스 X가 모든 감기 다 잡는 약 만들었대. 이거 하나면 끝이라는데 돈방석 앉겠네.","바이오 쪽 바이러스 X가 WHO랑 전략적 제휴 맺었어. 전 세계 방역 물량 독점 공급할 거래.","바이러스 X 내일 빌 게이츠 재단에서 거액 투자 유치 공시 떠. 이거 뜨면 텐배거 가야지."
VirusX,Bearish,"바이러스 X 근처에 이상한 병 퍼진 거 알아? 연구소에서 샌 거 아니냐고 난리도 아니야.","바이오 쪽 바이러스 X 연구소 폐쇄됐어. 치명적인 균이 유출됐다는데 국가 봉쇄령 내려질 수도 있대.","바이러스 X 유출 사고가 고의라는 증거 나왔어. 내일 검찰 압수수색 들어오니까 전량 매도해."
BioSync,Bullish,"바이오 싱크에서 만든 인공 팔이 진짜 팔보다 좋대. 너도 하나 달고 싶지 않아? 주가 오를 거야.","바이오 쪽 바이오 싱크가 군 특수부대에 의체 공급하기로 했어. 실적 기반의 퀀텀 점프 예상된다더라.","바이오 싱크 내일 테슬라랑 합병설 기사 떠. 일론 머스크가 직접 언급한다니까 풀매수 가자."
BioSync,Bearish,"바이오 싱크 인공 심장 단 사람들 다 쓰러졌대. 거부 반응 때문에 난리 났다는데? 큰일이야.","바이오 쪽 바이오 싱크 의체들이 일제히 오작동했어. 피해 보상 요구가 회사 자본금보다 많다더라.","바이오 싱크 기술 결함 알고도 판매한 정황 포착됐어. 내일 사장 구속되니까 무조건 도망쳐."
WingsLogis,Bullish,"날개 달린 택배(윙스)가 알아서 짐 배달한대. 인건비 다 아껴서 배불리게 생겼다니까!","항공 쪽 윙스 로지스가 물류 자동화 끝냈어. 이제 24시간 쉬지 않고 돈 벌어다 줄 거다!","윙스 로지스가 정부한테 드론 배송 구역 독점 허가받았어. 내일 아침 발표니까 지금 사."
WingsLogis,Bearish,"드론 택배가 아파트에 박혔대! 윙스 로지스 거라는데 안전성 논란 터질 것 같아.","항공 쪽 윙스 로지스 드론 사고로 인명 피해 발생했어. 사업 전면 중단 위기라는데 던져!","윙스 로지스 드론 결함 은폐 정황 드러났어. 내일 검찰 압수수색 들어오니까 무조건 팔아."
MorningBrew,Bullish,"아침 커피(모닝 브루)가 온 세상을 덮었대. 발에 채는 게 얘네 매장이라는데? 돈이 발에 채겠네!","유통 대장 모닝 브루가 해외 진출 완전 성공했어. 매장 수 늘어나는 속도가 로켓이라니까, 형 믿지?","모닝 브루가 유럽 1위 카페 브랜드랑 합병 발표해. 내일 아침에 티커 붉게 타오를 거다."
